H3MeK4_N,CaNA_N,class,grade
0.214088398,1.426933702,5,D
0.22528477,1.500070314,5,D
0.224212034,1.613896848,5,A
0.239907346,1.178248401,5,B
0.233123804,1.077480186,5,A
0.206741266,1.144377729,5,B
0.243806306,1.238457207,5,C
0.267758702,0.981414396,5,A
0.217620723,0.994403582,5,A
0.208285574,1.030948092,5,D
0.220638643,1.153526971,5,B
0.212491027,1.14626705,5,D
0.214771266,1.060260886,5,A
0.245123537,1.530039012,5,C
0.244712991,1.590568764,5,D
0.219259065,1.571466106,5,B
0.258953597,1.459669885,5,C
0.25185302,1.498028702,5,D
0.280166881,1.500320924,5,A
0.315198984,1.455546147,5,C
0.309838473,1.405496119,5,A
0.310145548,1.423587329,5,A
0.238487458,1.0758767,3,B
0.228868018,1.04164607,3,A
0.21623996,1.082705823,3,A
0.243673404,1.076874105,3,D
0.249959839,1.105863454,3,A
0.252441406,1.127766927,3,B
0.324725498,1.062830419,3,B
0.295872497,1.072537801,3,B
0.322888566,1.096908072,3,B
0.210055575,0.927144842,3,A
0.202982811,0.891220088,3,A
0.234145246,0.979795712,3,B
0.235190873,0.947345327,3,C
0.221403813,0.930784229,3,B
0.257560838,1.010128007,3,B
0.284185983,0.998079824,3,A
0.247269252,0.996723102,3,D
0.305637467,1.025151778,3,A
0.312941582,1.041357918,3,B
0.282670693,0.983727562,3,A
0.355460866,1.049338417,3,A
0.372005324,1.062555457,3,B
0.336609873,1.01310616,3,B
0.219236565,0.977482002,3,D
0.20593206,0.996028393,3,A
0.217575026,1.104691273,3,A
0.227177624,0.99922916,3,A
0.237972988,1.033374261,3,A
0.241648737,1.093760616,3,B
0.246666667,1.020138889,3,D
0.253333333,1.070175439,3,B
0.249537893,1.109910422,3,C
0.296713112,1.030546624,3,D
0.3070128,1.049936903,3,C
0.291590494,1.135283364,3,C
0.215110987,0.701771585,3,C
0.239853715,0.714387655,3,C
0.205494406,0.627581188,3,A
0.224938429,0.802243911,3,D
0.235166163,0.720483384,3,B
0.237160302,0.756734108,3,D
0.224575761,0.801179444,3,B
0.298035098,0.643317834,3,B
0.280592593,0.752740741,3,A
0.248175182,0.778489498,3,D
0.260217984,0.69015181,3,B
0.302334707,0.775358054,3,B
0.254291417,0.806986028,3,D
0.221571278,0.95253117,3,D
0.208941743,0.970344724,3,B
0.204215374,0.890187744,3,C
0.214446562,0.889485536,3,A
0.211234745,0.930904523,3,C
0.205046087,1.760818622,4,A
0.210144217,1.793780045,4,A
0.211953842,1.81605681,4,B
0.208399209,1.771640316,4,B
0.232003408,1.7320744,4,D
0.258420606,1.743136145,4,C
0.273763717,1.763146644,4,D
0.207746934,1.469076824,4,B
0.202552439,1.395628001,4,D
0.23730738,1.3513382,4,A
0.235700197,1.362426036,4,D
0.231555051,1.340197827,4,A
0.241374626,1.083537082,4,A
0.209558489,1.94583523,4,B
0.207611668,1.901663628,4,D
0.21727179,1.903447486,4,B
0.218379337,1.896020397,4,D
0.22405334,1.571392628,4,D
0.224601513,0.993720818,0,A
0.209391471,0.980674014,0,C
0.220180529,0.98420374,0,A
0.210340338,0.885623954,0,A
0.217907021,0.89879472,0,D
0.22740297,1.393592081,0,D
0.207787151,1.342245295,0,B
0.239925499,1.417710803,0,B
0.231901421,1.42683553,0,C
0.242242414,1.438539345,0,D
0.201456311,0.943025038,0,D
0.201234145,0.904696606,0,A
0.204959514,0.880398111,0,B
0.211486026,0.898773006,0,A
0.21166088,1.334635417,0,A
0.208481067,1.299673805,0,A
0.239905919,1.400627205,0,C
0.250543371,1.389251136,0,D
0.220007522,1.311583302,0,D
0.205443775,1.268256562,0,D
0.201041454,1.28803349,0,B
0.227790282,1.377532106,0,C
0.209871353,1.367022618,0,A
0.203944642,1.341261291,0,A
0.247493461,1.424585876,0,B
0.261014042,1.46017794,0,B
0.222162798,1.429992513,0,C
0.311126961,1.462624822,0,C
0.31268071,1.380558998,0,D
0.267345815,1.397301762,0,D
0.256337183,1.070046498,0,B
0.258608842,1.095059937,0,A
0.283181712,1.081486665,0,C
0.343639411,1.110448873,0,B
0.330352941,1.099105882,0,B
0.36601432,1.106921241,0,C
0.346058837,1.034807995,0,A
0.337522645,1.060235507,0,D
