H3MeK4_N,CaNA_N,class,grade,H3MeK4_N_normalized,CaNA_N_standardized
0.128185603,1.67565235,5,A,0.0845795238228873,1.0659009079901893
0.1311187,1.743609645,5,D,0.09397699166488188,1.280291183929141
0.127431075,1.926426587,5,D,0.08216206111507895,1.8570383108077975
0.146901093,1.700563438,5,C,0.1445428374883308,1.1444898958282061
0.148379919,1.839730218,5,A,0.14928090778703057,1.583530389799241
0.14218043,1.816388575,5,C,0.1294181148025847,1.5098926547534524
0.157498978,1.528483858,5,A,0.1784978289122956,0.6016167776492243
0.159409283,1.652658228,5,B,0.18461833219121937,0.9933595250444153
0.158235497,1.834599448,5,B,0.18085759185825956,1.567343942176815
0.192333633,1.516861511,5,D,0.2901059858022573,0.5649508364814921
0.193054604,1.613548092,5,B,0.29241593388358933,0.8699756727434974
0.195528744,1.722971374,5,D,0.3003429308722987,1.2151819912428687
0.214088398,1.426933702,5,D,0.3598069552886567,0.28124843505283936
0.22528477,1.500070314,5,D,0.3956794633635716,0.5119783136908879
0.224212034,1.613896848,5,A,0.3922424812034351,0.8710759209961001
0.163994829,1.297220427,5,B,0.199310148068085,-0.1279683358647654
0.15820598,1.363189369,5,C,0.18076302115081544,0.0801491249432421
0.15854319,1.404481451,5,C,0.18184342187776004,0.21041653558802748
0.195738683,1.170038136,5,A,0.3010155629063843,-0.5292004105381032
0.16997737,1.272986338,5,B,0.21847785260050046,-0.20442154118788985
0.159939582,1.279936226,5,A,0.18631737855727604,-0.18249617753024538
0.239907346,1.178248401,5,B,0.4425293246968728,-0.5032988354550763
0.197067118,1.219966159,5,C,0.305271789411229,-0.37168851092443705
0.183547103,1.246130031,5,A,0.26195446775913744,-0.28914726590119944
0.233123804,1.077480186,5,A,0.4207952607365538,-0.8212003266743133
0.206741266,1.144377729,5,B,0.33626718258393895,-0.6101533345389164
0.243806306,1.238457207,5,C,0.4550213599814963,-0.3133533331761114
0.267758702,0.981414396,5,A,0.5317634081131197,-1.1242667042632593
0.217620723,0.994403582,5,A,0.3711243139014041,-1.0832886875431653
0.208285574,1.030948092,5,D,0.34121505330493285,-0.9679988193553013
0.101787008,1.649982724,5,D,0.0,0.9849189000778719
0.101787008,1.63898847,5,B,0.0,0.9502344537825486
0.101787008,1.564924819,5,C,0.0,0.71657997158257
0.101787008,1.68222208,5,B,0.0,1.086626957011776
0.101787008,1.660352255,5,A,0.0,1.0176324831074424
0.101787008,1.61081609,5,B,0.0,0.8613568090490876
0.101787008,1.727380518,5,C,0.0,1.229091868009072
0.101787008,1.650846275,5,D,0.0,0.9876432130037666
0.101787008,1.555326991,5,B,0.0,0.6863009412984101
0.101787008,1.655576382,5,D,0.0,1.002565657238058
0.101787008,1.681702521,5,D,0.0,1.0849878629693104
0.101787008,1.585792952,5,C,0.0,0.7824143281766743
0.101787008,1.615575808,5,D,0.0,0.8763726694568865
0.101787008,1.561913696,5,D,0.0,0.7070805427007092
0.101787008,1.530457516,5,A,0.0,0.6078432332965412
0.101787008,1.680398751,5,A,0.0,1.080874756200406
0.101787008,1.720906651,5,A,0.0,1.2086682456073554
0.101787008,1.645763881,5,B,0.0,0.9716093809907285
0.101787008,1.699259836,5,A,0.0,1.1403773190622446
0.101787008,1.705363309,5,B,0.0,1.159632430094194
0.101787008,1.68242681,5,A,0.0,1.0872728350031373
0.101787008,1.653051034,5,D,0.0,0.9945987413306209
0.101787008,1.653808878,5,B,0.0,0.9969895719880019
0.101787008,1.607118742,5,C,0.0,0.8496924916573737
0.101787008,1.739865311,5,B,0.0,1.2684786360714368
0.101787008,1.718461944,5,C,0.0,1.2009557342674047
0.101787008,1.690157637,5,A,0.0,1.111661888948947
0.101787008,1.73015873,5,B,0.0,1.2378565140606395
0.101787008,1.633585331,5,B,0.0,0.9331887420433378
0.101787008,1.613042782,5,A,0.0,0.8683815311530363
0.101787008,1.817861857,5,C,0.0,1.514540534491984
0.101787008,1.769404892,5,D,0.0,1.361669498387411
0.101787008,1.723144672,5,D,0.0,1.2157287082073926
0.101787008,1.682969895,5,D,0.0,1.088986148386319
0.101787008,1.753591759,5,B,0.0,1.3117825517788189
0.101787008,1.72409726,5,D,0.0,1.2187339132288126
0.101787008,1.626290753,5,A,0.0,0.9101759574662264
0.101787008,1.61497516,5,A,0.0,0.8744777575057533
0.101787008,1.586359293,5,D,0.0,0.7842010091101269
0.101787008,1.538291402,5,C,0.0,0.6325574156549516
0.101787008,1.577964912,5,C,0.0,0.7577185886587737
0.101787008,1.547757181,5,A,0.0,0.6624198604710249
0.101787008,1.392008639,5,D,0.0,0.1710675649379346
0.101787008,1.379272727,5,D,0.0,0.1308885718215343
0.101787008,1.374519495,5,B,0.0,0.11589317331307573
0.14351664,1.627181412,5,A,0.1336992519436856,0.9129857901527327
0.145719399,1.562096053,5,A,0.14075676039504748,0.7076558388120306
